TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2017-07-25 13:53:15.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2017-07-25 13:53:15.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:16.047,0.6827549346356175,1.111459251948678,0.05265938429550509,0.3942261609607332,0.4327581686043177,0.7696149432918401,-0.2707252559630762,0.2150732099542447,1.115474419088292,0.4788537547142573,-0.09798541310890299,0.4783879292664892,0.9521711083213158,0.3036473983494793,0.1478773732997811,0.3608696747390597,0.9277766115389227,0.2574846007854924,0.01844221393765736,0.2383478309395397,875.1648351648352,718.8278388278388,757.5091575091575,842.5274725274726,823.5897435897436,0.332581,0.169861,0.897400,-4.142151,16.441498,3.775787,1,2,1,2,2,82.625000
2017-07-25 13:53:16.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:17.045,0.6827549346356175,1.111459251948678,0.05265938429550509,0.3942261609607332,0.4327581686043177,0.7696149432918401,-0.2707252559630762,0.2150732099542447,1.115474419088292,0.4788537547142573,-0.09798541310890299,0.4783879292664892,0.9521711083213158,0.3036473983494793,0.1478773732997811,0.3608696747390597,0.9277766115389227,0.2574846007854924,0.01844221393765736,0.2383478309395397,859.047619047619,729.3040293040293,693.8461538461538,769.1941391941392,835.2747252747253,0.526001,0.184021,0.884460,-1.816864,-12.112427,-4.523468,1,2,1,1,2,82.625000
2017-07-25 13:53:17.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:18.022,0.6827549346356175,1.111459251948678,0.05265938429550509,0.3942261609607332,0.4327581686043177,0.7696149432918401,-0.2707252559630762,0.2150732099542447,1.115474419088292,0.4788537547142573,-0.09798541310890299,0.4783879292664892,0.9521711083213158,0.3036473983494793,0.1478773732997811,0.3608696747390597,0.9277766115389227,0.2574846007854924,0.01844221393765736,0.2383478309395397,1205.567765567765,757.1062271062272,737.3626373626374,1174.945054945055,746.6300366300367,0.368958,0.170471,0.930420,-5.278625,46.617889,-8.037567,1,2,1,1,2,82.625000
2017-07-25 13:53:18.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:18.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:19.022,0.6827549346356175,1.111459251948678,0.05265938429550509,0.3942261609607332,0.4327581686043177,0.7696149432918401,-0.2707252559630762,0.2150732099542447,1.115474419088292,0.4788537547142573,-0.09798541310890299,0.4783879292664892,0.9521711083213158,0.3036473983494793,0.1478773732997811,0.3608696747390597,0.9277766115389227,0.2574846007854924,0.01844221393765736,0.2383478309395397,743.0036630036631,794.1758241758242,792.5641025641025,861.4652014652015,823.1868131868132,0.214355,0.277222,0.987732,3.297272,-4.112244,-5.517883,1,2,1,1,2,82.625000
2017-07-25 13:53:20.046,0.6827549346356175,1.414270145734742,1.199770758877741,1.130281450201847,0.4327581686043177,0.5244668053703749,0.5734418626964729,0.7495605658675953,1.115474419088292,0.8437294079344708,0.7023165487182712,0.7054338438488417,0.9521711083213158,0.6722475199755986,0.3506304562688158,0.7630954972735281,0.9277766115389227,0.1240631154431817,-0.003558986434847868,0.3409634873105593,938.021978021978,804.2490842490843,782.0879120879121,846.1538461538462,833.6630036630037,0.270386,0.059509,0.940125,-7.947845,0.545807,6.519775,1,1,1,1,1,82.625000
2017-07-25 13:53:21.028,0.6827549346356175,0.6533330438869607,0.4049595425367118,1.029342518823031,0.4327581686043177,0.4393995738760562,0.1268306820253664,0.7429524098973374,1.115474419088292,0.5525797277747365,0.2672646784139784,0.8665575202434008,0.9521711083213158,0.09406537549039139,0.1235817352015058,0.7719062113812878,0.9277766115389227,-0.3123653222504106,-0.1817571857297604,0.1973348602776171,865.4945054945056,749.8534798534798,813.5164835164835,822.7838827838829,788.1318681318681,0.195862,0.056335,0.973328,-1.525269,38.475647,45.541229,1,1,1,1,1,82.625000
2017-07-25 13:53:21.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:22.022,0.6827549346356175,1.417563729843649,0.5205124315945835,1.075387898459642,0.4327581686043177,0.6897383590883789,-0.07694656479006591,0.8919223484857475,1.115474419088292,0.4525509883451765,-0.1563196479207676,0.6868967078349779,0.9521711083213158,0.02472038306153363,0.131237006975233,0.8122586855634114,0.9277766115389227,-0.2457622411740067,-0.2738778415465261,-0.03542410462317856,911.8315018315019,787.7289377289378,800.2197802197802,852.6007326007326,828.021978021978,0.027100,0.145752,0.989014,-2.056122,4.299164,5.495453,1,1,1,1,1,82.625000
2017-07-25 13:53:22.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:23.058,0.6827549346356175,1.144930575094025,1.238808536776704,1.13817789900553,0.4327581686043177,0.5319552467254699,1.122061210056458,0.9607889380283318,1.115474419088292,0.4996013789172737,1.278739087697648,0.6838192808976686,0.9521711083213158,0.08038897965446846,0.2305863625591328,0.8390849442023398,0.9277766115389227,-0.3155501027897696,-0.142024092747948,-0.07622407342506157,919.4871794871796,790.5494505494506,802.6373626373627,859.8534798534798,847.3626373626374,-0.041443,0.099792,0.994324,-3.835602,4.403839,10.295563,1,1,1,1,1,82.625000
2017-07-25 13:53:24.026,0.6827549346356175,0.9260474955652203,1.351338755033136,1.13817789900553,0.4327581686043177,0.5665918665743552,1.185684706788366,0.9607889380283318,1.115474419088292,0.487494935111086,1.278739087697648,0.6838192808976686,0.9521711083213158,0.01847002444685518,0.2136829745273,0.8390849442023398,0.9277766115389227,-0.4559756924448124,-0.1836155741372928,-0.07622407342506157,1037.545787545788,801.025641025641,811.9047619047619,827.2161172161173,827.2161172161173,0.179016,0.099976,0.971863,0.964508,5.682373,11.155396,1,2,1,1,2,82.625000
2017-07-25 13:53:24.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:25.037,2.520545430627024,1.015518585832616,1.266728662471589,1.13817789900553,1.097241166657545,0.6241263731105556,0.9031218240392727,0.9607889380283318,0.8354722592003049,0.5712599271363217,0.679346487932156,0.6838192808976686,0.627779045769541,-0.03799014209171774,0.09349062473524158,0.8390849442023398,0.3875037380851624,-0.229255755321509,-0.1484784724413752,-0.07622407342506157,884.4322344322345,814.7252747252747,809.0842490842491,870.3296703296703,890.0732600732601,-0.030457,0.094055,0.997314,-1.570129,3.215027,4.299164,1,1,1,1,1,82.515625
2017-07-25 13:53:25.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
